user_id,R,F,M,cluster,cluster_name
100068,4,4,4,2,活跃潜力用户
1000684,1,10,8,0,高价值忠诚用户
1000686,3,1,1,2,活跃潜力用户
1000688,2,1,1,2,活跃潜力用户
1000694,3,3,3,2,活跃潜力用户
1000703,5,2,2,1,早期沉睡用户
1000712,5,3,3,1,早期沉睡用户
1000715,3,3,3,2,活跃潜力用户
1000718,4,4,4,2,活跃潜力用户
1000722,5,1,1,1,早期沉睡用户
1000723,2,16,15,0,高价值忠诚用户
1000727,1,1,1,2,活跃潜力用户
1000732,3,1,1,2,活跃潜力用户
1000735,2,3,3,2,活跃潜力用户
1000738,8,1,1,1,早期沉睡用户
1000749,1,2,2,2,活跃潜力用户
100075,4,2,1,2,活跃潜力用户
1000751,7,1,1,1,早期沉睡用户
1000772,1,1,1,2,活跃潜力用户
1000792,3,5,5,0,高价值忠诚用户
10008,2,3,3,2,活跃潜力用户
1000803,8,1,1,1,早期沉睡用户
1000807,1,5,5,0,高价值忠诚用户
1000810,2,1,1,2,活跃潜力用户
1000811,4,2,2,2,活跃潜力用户
1000836,1,4,4,2,活跃潜力用户
1000840,2,1,1,2,活跃潜力用户
1000856,4,3,3,2,活跃潜力用户
1000857,5,1,1,1,早期沉睡用户
1000865,3,2,2,2,活跃潜力用户
1000866,8,1,1,1,早期沉睡用户
1000867,4,1,1,2,活跃潜力用户
1000872,3,4,4,2,活跃潜力用户
1000877,4,7,7,0,高价值忠诚用户
1000878,3,4,4,2,活跃潜力用户
100088,2,2,2,2,活跃潜力用户
1000896,7,2,2,1,早期沉睡用户
10009,1,10,9,0,高价值忠诚用户
100091,1,3,3,2,活跃潜力用户
1000911,1,5,5,0,高价值忠诚用户
1000916,3,2,2,2,活跃潜力用户
1000919,5,1,1,1,早期沉睡用户
1000922,5,1,1,1,早期沉睡用户
1000923,2,1,1,2,活跃潜力用户
1000936,7,2,2,1,早期沉睡用户
1000937,3,4,4,2,活跃潜力用户
100095,5,1,1,1,早期沉睡用户
1000959,8,1,1,1,早期沉睡用户
1000962,4,3,3,2,活跃潜力用户
1000964,8,1,1,1,早期沉睡用户
1000984,4,1,1,2,活跃潜力用户
1001005,2,2,2,2,活跃潜力用户
1001009,4,3,3,2,活跃潜力用户
100101,1,28,28,3,超级用户
1001017,6,2,2,1,早期沉睡用户
1001018,7,1,1,1,早期沉睡用户
1001024,5,2,2,1,早期沉睡用户
100103,2,1,1,2,活跃潜力用户
1001048,1,1,1,2,活跃潜力用户
100105,1,3,3,2,活跃潜力用户
1001054,1,6,6,0,高价值忠诚用户
1001065,4,4,3,2,活跃潜力用户
100107,1,3,2,2,活跃潜力用户
1001081,2,5,5,0,高价值忠诚用户
1001088,9,2,2,1,早期沉睡用户
100109,5,1,1,1,早期沉睡用户
1001092,6,2,1,1,早期沉睡用户
1001099,3,5,4,2,活跃潜力用户
1001102,2,4,4,2,活跃潜力用户
1001104,2,2,2,2,活跃潜力用户
1001108,8,1,1,1,早期沉睡用户
1001120,4,4,4,2,活跃潜力用户
1001121,4,1,1,2,活跃潜力用户
100113,5,3,3,1,早期沉睡用户
1001131,1,4,4,2,活跃潜力用户
1001138,1,2,2,2,活跃潜力用户
1001145,2,5,5,0,高价值忠诚用户
1001148,1,1,1,2,活跃潜力用户
1001151,3,3,3,2,活跃潜力用户
1001154,5,1,1,1,早期沉睡用户
100116,1,13,12,0,高价值忠诚用户
1001185,5,2,2,1,早期沉睡用户
1001186,1,4,4,2,活跃潜力用户
1001199,1,10,9,0,高价值忠诚用户
1001201,1,2,2,2,活跃潜力用户
1001228,2,1,1,2,活跃潜力用户
1001230,4,2,2,2,活跃潜力用户
1001232,4,4,4,2,活跃潜力用户
1001235,1,4,4,2,活跃潜力用户
1001241,3,6,6,0,高价值忠诚用户
1001248,8,3,3,1,早期沉睡用户
1001265,3,1,1,2,活跃潜力用户
1001270,2,2,2,2,活跃潜力用户
100128,2,2,2,2,活跃潜力用户
1001301,7,1,1,1,早期沉睡用户
1001305,4,15,15,0,高价值忠诚用户
1001313,2,1,1,2,活跃潜力用户
1001326,2,5,5,0,高价值忠诚用户
1001327,5,1,1,1,早期沉睡用户
100134,6,14,14,0,高价值忠诚用户
1001346,7,1,1,1,早期沉睡用户
1001347,3,3,3,2,活跃潜力用户
1001352,2,2,2,2,活跃潜力用户
1001360,7,1,1,1,早期沉睡用户
1001373,4,5,5,0,高价值忠诚用户
1001375,1,10,9,0,高价值忠诚用户
1001378,1,8,8,0,高价值忠诚用户
1001381,2,2,2,2,活跃潜力用户
1001404,3,2,2,2,活跃潜力用户
100141,2,2,2,2,活跃潜力用户
1001419,3,7,5,0,高价值忠诚用户
1001420,6,3,3,1,早期沉睡用户
1001421,4,2,2,2,活跃潜力用户
1001438,5,1,1,1,早期沉睡用户
1001441,1,2,2,2,活跃潜力用户
1001444,2,3,3,2,活跃潜力用户
1001460,4,1,1,2,活跃潜力用户
1001461,4,6,5,0,高价值忠诚用户
1001466,1,5,5,0,高价值忠诚用户
1001472,8,5,5,1,早期沉睡用户
1001482,6,1,1,1,早期沉睡用户
1001489,6,1,1,1,早期沉睡用户
1001492,6,1,1,1,早期沉睡用户
1001512,3,1,1,2,活跃潜力用户
1001521,7,1,1,1,早期沉睡用户
1001524,1,1,1,2,活跃潜力用户
1001531,1,2,2,2,活跃潜力用户
1001532,2,3,3,2,活跃潜力用户
1001534,8,1,1,1,早期沉睡用户
1001537,1,8,8,0,高价值忠诚用户
1001543,6,1,1,1,早期沉睡用户
1001545,1,10,9,0,高价值忠诚用户
1001551,1,1,1,2,活跃潜力用户
1001557,2,1,1,2,活跃潜力用户
1001562,4,2,2,2,活跃潜力用户
1001566,3,7,6,0,高价值忠诚用户
1001569,6,2,2,1,早期沉睡用户
1001578,2,2,2,2,活跃潜力用户
1001591,2,1,1,2,活跃潜力用户
1001596,2,4,3,2,活跃潜力用户
1001601,4,2,2,2,活跃潜力用户
1001606,3,1,1,2,活跃潜力用户
1001608,7,1,1,1,早期沉睡用户
1001618,8,1,1,1,早期沉睡用户
1001625,1,6,4,0,高价值忠诚用户
1001626,4,2,2,2,活跃潜力用户
1001628,4,1,1,2,活跃潜力用户
1001629,1,9,9,0,高价值忠诚用户
100164,5,1,1,1,早期沉睡用户
1001641,9,2,2,1,早期沉睡用户
1001652,1,4,4,2,活跃潜力用户
1001654,3,2,2,2,活跃潜力用户
1001662,4,9,8,0,高价值忠诚用户
1001667,2,2,2,2,活跃潜力用户
1001673,5,2,2,1,早期沉睡用户
1001676,1,3,3,2,活跃潜力用户
1001686,3,1,1,2,活跃潜力用户
1001688,7,1,1,1,早期沉睡用户
1001689,3,1,1,2,活跃潜力用户
1001697,2,1,1,2,活跃潜力用户
1001700,4,2,2,2,活跃潜力用户
1001711,1,5,5,0,高价值忠诚用户
100173,1,8,8,0,高价值忠诚用户
1001737,4,3,3,2,活跃潜力用户
1001744,6,1,1,1,早期沉睡用户
1001757,1,2,2,2,活跃潜力用户
1001769,6,3,3,1,早期沉睡用户
100177,6,3,3,1,早期沉睡用户
1001771,8,1,1,1,早期沉睡用户
1001783,2,4,3,2,活跃潜力用户
1001784,5,2,2,1,早期沉睡用户
1001788,5,3,3,1,早期沉睡用户
1001800,3,1,1,2,活跃潜力用户
1001803,5,2,2,1,早期沉睡用户
1001804,1,4,4,2,活跃潜力用户
1001809,5,1,1,1,早期沉睡用户
1001823,4,1,1,2,活跃潜力用户
1001829,1,4,4,2,活跃潜力用户
100184,2,1,1,2,活跃潜力用户
1001841,2,7,7,0,高价值忠诚用户
1001844,3,2,2,2,活跃潜力用户
1001847,8,3,3,1,早期沉睡用户
1001850,2,2,2,2,活跃潜力用户
1001855,5,3,3,1,早期沉睡用户
1001856,2,8,8,0,高价值忠诚用户
100186,2,5,5,0,高价值忠诚用户
1001860,3,4,3,2,活跃潜力用户
1001866,4,15,13,0,高价值忠诚用户
1001870,2,2,2,2,活跃潜力用户
1001872,6,2,2,1,早期沉睡用户
1001875,3,5,3,2,活跃潜力用户
1001876,1,2,1,2,活跃潜力用户
1001877,2,3,2,2,活跃潜力用户
1001879,1,2,2,2,活跃潜力用户
1001882,1,1,1,2,活跃潜力用户
1001891,4,2,2,2,活跃潜力用户
1001902,1,2,2,2,活跃潜力用户
1001903,5,1,1,1,早期沉睡用户
1001908,3,2,2,2,活跃潜力用户
100191,3,5,5,0,高价值忠诚用户
1001912,3,1,1,2,活跃潜力用户
1001915,2,5,5,0,高价值忠诚用户
1001917,4,3,3,2,活跃潜力用户
1001920,3,3,3,2,活跃潜力用户
1001921,1,6,6,0,高价值忠诚用户
1001944,4,4,4,2,活跃潜力用户
1001946,6,1,1,1,早期沉睡用户
1001947,2,1,1,2,活跃潜力用户
1001952,1,2,2,2,活跃潜力用户
1001967,1,3,3,2,活跃潜力用户
100197,1,2,2,2,活跃潜力用户
1001981,8,1,1,1,早期沉睡用户
1001982,1,2,2,2,活跃潜力用户
1001985,5,1,1,1,早期沉睡用户
1001988,1,4,4,2,活跃潜力用户
10020,7,1,1,1,早期沉睡用户
1002005,4,1,1,2,活跃潜力用户
1002010,4,1,1,2,活跃潜力用户
1002020,1,4,4,2,活跃潜力用户
1002031,1,16,12,0,高价值忠诚用户
1002032,4,4,4,2,活跃潜力用户
1002034,2,5,5,0,高价值忠诚用户
100204,6,5,5,1,早期沉睡用户
1002040,4,3,3,2,活跃潜力用户
1002042,1,7,7,0,高价值忠诚用户
1002044,5,1,1,1,早期沉睡用户
1002046,6,8,8,0,高价值忠诚用户
1002058,6,1,1,1,早期沉睡用户
1002066,2,5,5,0,高价值忠诚用户
1002093,1,4,4,2,活跃潜力用户
1002095,4,4,3,2,活跃潜力用户
10021,3,1,1,2,活跃潜力用户
1002118,3,3,3,2,活跃潜力用户
1002127,1,2,2,2,活跃潜力用户
1002128,4,2,2,2,活跃潜力用户
1002132,6,5,5,1,早期沉睡用户
1002142,2,3,3,2,活跃潜力用户
1002147,6,1,1,1,早期沉睡用户
100215,2,3,3,2,活跃潜力用户
1002166,1,10,10,0,高价值忠诚用户
1002172,8,2,2,1,早期沉睡用户
1002180,1,2,1,2,活跃潜力用户
1002183,5,1,1,1,早期沉睡用户
1002185,2,7,7,0,高价值忠诚用户
1002188,1,3,3,2,活跃潜力用户
1002191,4,3,3,2,活跃潜力用户
1002194,1,3,3,2,活跃潜力用户
1002200,8,1,1,1,早期沉睡用户
1002201,2,5,5,0,高价值忠诚用户
1002202,6,3,3,1,早期沉睡用户
1002208,1,5,5,0,高价值忠诚用户
1002213,8,2,2,1,早期沉睡用户
1002218,1,2,2,2,活跃潜力用户
1002222,2,11,11,0,高价值忠诚用户
1002226,3,4,4,2,活跃潜力用户
1002228,3,10,7,0,高价值忠诚用户
1002237,2,9,9,0,高价值忠诚用户
1002246,1,8,8,0,高价值忠诚用户
100225,1,2,2,2,活跃潜力用户
1002251,2,5,5,0,高价值忠诚用户
1002254,2,2,2,2,活跃潜力用户
1002257,1,2,2,2,活跃潜力用户
1002260,3,1,1,2,活跃潜力用户
100227,1,1,1,2,活跃潜力用户
1002271,4,3,3,2,活跃潜力用户
1002291,9,1,1,1,早期沉睡用户
1002295,2,3,2,2,活跃潜力用户
1002306,5,1,1,1,早期沉睡用户
1002307,1,10,10,0,高价值忠诚用户
1002311,1,2,2,2,活跃潜力用户
1002315,1,1,1,2,活跃潜力用户
1002316,5,2,2,1,早期沉睡用户
1002317,1,3,3,2,活跃潜力用户
1002328,6,1,1,1,早期沉睡用户
1002330,5,3,3,1,早期沉睡用户
1002331,5,7,7,0,高价值忠诚用户
1002339,6,1,1,1,早期沉睡用户
100234,6,6,6,0,高价值忠诚用户
1002349,5,5,5,0,高价值忠诚用户
1002350,2,2,2,2,活跃潜力用户
1002358,1,10,8,0,高价值忠诚用户
1002375,1,1,1,2,活跃潜力用户
1002387,3,7,7,0,高价值忠诚用户
1002388,3,5,4,2,活跃潜力用户
1002392,2,3,3,2,活跃潜力用户
10024,2,6,6,0,高价值忠诚用户
1002413,8,5,4,1,早期沉睡用户
100242,4,5,5,0,高价值忠诚用户
1002421,3,1,1,2,活跃潜力用户
1002426,3,1,1,2,活跃潜力用户
1002428,4,3,3,2,活跃潜力用户
100243,1,2,2,2,活跃潜力用户
1002435,8,3,3,1,早期沉睡用户
1002449,2,5,5,0,高价值忠诚用户
1002453,7,1,1,1,早期沉睡用户
1002460,9,2,2,1,早期沉睡用户
1002478,7,1,1,1,早期沉睡用户
1002479,3,1,1,2,活跃潜力用户
1002484,5,1,1,1,早期沉睡用户
100249,6,2,2,1,早期沉睡用户
1002494,6,1,1,1,早期沉睡用户
1002508,4,1,1,2,活跃潜力用户
1002512,1,1,1,2,活跃潜力用户
1002520,1,4,4,2,活跃潜力用户
1002526,4,7,7,0,高价值忠诚用户
1002534,6,4,4,1,早期沉睡用户
1002542,2,1,1,2,活跃潜力用户
1002547,2,1,1,2,活跃潜力用户
1002564,3,2,2,2,活跃潜力用户
1002566,4,5,4,2,活跃潜力用户
100257,1,6,6,0,高价值忠诚用户
1002574,1,2,2,2,活跃潜力用户
1002578,1,4,4,2,活跃潜力用户
1002587,3,5,5,0,高价值忠诚用户
1002589,2,8,8,0,高价值忠诚用户
100259,4,1,1,2,活跃潜力用户
1002591,1,1,1,2,活跃潜力用户
1002593,7,1,1,1,早期沉睡用户
1002597,2,2,1,2,活跃潜力用户
100261,1,2,2,2,活跃潜力用户
1002618,1,7,7,0,高价值忠诚用户
1002637,2,7,6,0,高价值忠诚用户
100264,2,2,2,2,活跃潜力用户
1002642,1,1,1,2,活跃潜力用户
1002661,2,1,1,2,活跃潜力用户
1002672,2,3,3,2,活跃潜力用户
1002684,1,2,2,2,活跃潜力用户
1002685,3,4,4,2,活跃潜力用户
1002696,2,2,2,2,活跃潜力用户
10027,3,3,3,2,活跃潜力用户
1002705,7,7,7,0,高价值忠诚用户
1002714,2,3,3,2,活跃潜力用户
1002725,6,2,2,1,早期沉睡用户
1002756,1,2,2,2,活跃潜力用户
1002763,3,12,12,0,高价值忠诚用户
1002766,4,1,1,2,活跃潜力用户
1002767,1,1,1,2,活跃潜力用户
100277,7,1,1,1,早期沉睡用户
1002771,1,1,1,2,活跃潜力用户
100279,1,3,1,2,活跃潜力用户
1002793,2,1,1,2,活跃潜力用户
1002831,1,2,2,2,活跃潜力用户
100284,6,1,1,1,早期沉睡用户
1002846,4,1,1,2,活跃潜力用户
1002847,2,3,3,2,活跃潜力用户
100285,2,1,1,2,活跃潜力用户
1002862,1,2,2,2,活跃潜力用户
1002878,1,3,3,2,活跃潜力用户
1002886,5,7,7,0,高价值忠诚用户
1002890,1,1,1,2,活跃潜力用户
1002909,1,6,6,0,高价值忠诚用户
100292,7,2,2,1,早期沉睡用户
1002927,3,5,5,0,高价值忠诚用户
1002928,3,5,5,0,高价值忠诚用户
1002931,2,2,2,2,活跃潜力用户
1002934,1,4,4,2,活跃潜力用户
100294,1,5,5,0,高价值忠诚用户
1002940,4,4,4,2,活跃潜力用户
1002943,2,2,2,2,活跃潜力用户
1002970,1,6,6,0,高价值忠诚用户
1002975,3,1,1,2,活跃潜力用户
1002980,9,1,1,1,早期沉睡用户
1002992,2,2,2,2,活跃潜力用户
1002996,9,1,1,1,早期沉睡用户
1003022,1,8,8,0,高价值忠诚用户
1003027,1,4,4,2,活跃潜力用户
1003041,1,4,2,2,活跃潜力用户
1003044,5,3,3,1,早期沉睡用户
1003047,5,2,1,1,早期沉睡用户
1003052,2,1,1,2,活跃潜力用户
1003057,2,1,1,2,活跃潜力用户
1003063,2,2,2,2,活跃潜力用户
1003065,3,5,5,0,高价值忠诚用户
100307,4,2,2,2,活跃潜力用户
1003071,3,1,1,2,活跃潜力用户
1003073,1,1,1,2,活跃潜力用户
1003076,3,3,3,2,活跃潜力用户
100308,6,1,1,1,早期沉睡用户
1003093,4,1,1,2,活跃潜力用户
1003095,6,4,4,1,早期沉睡用户
1003110,7,2,2,1,早期沉睡用户
1003122,7,1,1,1,早期沉睡用户
1003123,1,1,1,2,活跃潜力用户
1003124,9,1,1,1,早期沉睡用户
100313,2,1,1,2,活跃潜力用户
1003131,2,5,5,0,高价值忠诚用户
1003152,6,2,2,1,早期沉睡用户
1003157,4,2,1,2,活跃潜力用户
1003163,7,5,5,1,早期沉睡用户
1003171,1,2,2,2,活跃潜力用户
1003176,2,2,2,2,活跃潜力用户
1003177,4,6,6,0,高价值忠诚用户
100318,1,2,2,2,活跃潜力用户
1003183,1,4,4,2,活跃潜力用户
1003184,5,2,2,1,早期沉睡用户
1003190,2,1,1,2,活跃潜力用户
1003191,3,6,6,0,高价值忠诚用户
1003199,8,1,1,1,早期沉睡用户
1003200,1,5,4,2,活跃潜力用户
1003221,9,1,1,1,早期沉睡用户
1003226,3,1,1,2,活跃潜力用户
1003227,4,1,1,2,活跃潜力用户
1003230,4,1,1,2,活跃潜力用户
1003239,1,3,3,2,活跃潜力用户
100324,6,2,2,1,早期沉睡用户
1003249,1,6,6,0,高价值忠诚用户
1003250,1,1,1,2,活跃潜力用户
1003264,1,3,3,2,活跃潜力用户
1003273,1,4,4,2,活跃潜力用户
1003274,6,1,1,1,早期沉睡用户
1003281,6,1,1,1,早期沉睡用户
1003283,3,1,1,2,活跃潜力用户
1003292,2,1,1,2,活跃潜力用户
1003293,8,1,1,1,早期沉睡用户
1003296,2,2,2,2,活跃潜力用户
1003298,9,1,1,1,早期沉睡用户
1003306,7,1,1,1,早期沉睡用户
1003319,3,3,3,2,活跃潜力用户
1003321,1,6,6,0,高价值忠诚用户
1003326,3,1,1,2,活跃潜力用户
1003329,7,2,2,1,早期沉睡用户
1003332,2,3,3,2,活跃潜力用户
1003341,2,3,3,2,活跃潜力用户
1003343,7,3,3,1,早期沉睡用户
1003348,1,1,1,2,活跃潜力用户
1003351,1,5,2,2,活跃潜力用户
1003359,8,1,1,1,早期沉睡用户
100339,8,1,1,1,早期沉睡用户
1003390,2,4,4,2,活跃潜力用户
1003397,4,2,2,2,活跃潜力用户
10034,1,4,4,2,活跃潜力用户
100340,3,3,3,2,活跃潜力用户
1003410,2,2,2,2,活跃潜力用户
1003422,1,3,3,2,活跃潜力用户
1003428,2,8,7,0,高价值忠诚用户
1003432,6,1,1,1,早期沉睡用户
1003440,3,2,1,2,活跃潜力用户
1003457,4,1,1,2,活跃潜力用户
100346,4,1,1,2,活跃潜力用户
1003463,1,1,1,2,活跃潜力用户
1003467,7,1,1,1,早期沉睡用户
1003475,8,1,1,1,早期沉睡用户
1003479,8,2,2,1,早期沉睡用户
1003492,3,2,2,2,活跃潜力用户
1003499,9,1,1,1,早期沉睡用户
10035,7,4,4,1,早期沉睡用户
1003509,1,4,4,2,活跃潜力用户
1003510,1,7,7,0,高价值忠诚用户
1003512,8,1,1,1,早期沉睡用户
1003514,1,2,2,2,活跃潜力用户
1003531,8,3,3,1,早期沉睡用户
1003550,5,2,2,1,早期沉睡用户
1003553,8,2,2,1,早期沉睡用户
1003559,1,4,4,2,活跃潜力用户
100356,1,6,6,0,高价值忠诚用户
1003561,1,4,3,2,活跃潜力用户
1003562,1,4,4,2,活跃潜力用户
100357,2,2,2,2,活跃潜力用户
1003571,5,2,2,1,早期沉睡用户
1003584,4,2,2,2,活跃潜力用户
1003586,2,5,5,0,高价值忠诚用户
1003598,4,1,1,2,活跃潜力用户
1003610,3,3,3,2,活跃潜力用户
1003611,4,6,5,0,高价值忠诚用户
1003612,4,1,1,2,活跃潜力用户
1003627,1,2,2,2,活跃潜力用户
1003628,1,4,4,2,活跃潜力用户
1003629,3,1,1,2,活跃潜力用户
100363,6,2,2,1,早期沉睡用户
1003643,6,3,3,1,早期沉睡用户
1003656,1,6,6,0,高价值忠诚用户
1003685,9,1,1,1,早期沉睡用户
1003693,3,1,1,2,活跃潜力用户
100370,1,2,2,2,活跃潜力用户
1003703,5,2,2,1,早期沉睡用户
1003707,1,3,3,2,活跃潜力用户
1003711,4,3,3,2,活跃潜力用户
1003716,1,9,9,0,高价值忠诚用户
1003724,3,5,5,0,高价值忠诚用户
1003725,2,1,1,2,活跃潜力用户
1003733,8,1,1,1,早期沉睡用户
1003740,3,3,3,2,活跃潜力用户
1003743,5,1,1,1,早期沉睡用户
1003748,1,1,1,2,活跃潜力用户
1003756,5,1,1,1,早期沉睡用户
1003757,2,1,1,2,活跃潜力用户
1003761,2,1,1,2,活跃潜力用户
1003766,1,2,2,2,活跃潜力用户
1003767,5,3,3,1,早期沉睡用户
100377,1,3,2,2,活跃潜力用户
1003781,2,5,4,2,活跃潜力用户
1003782,1,2,2,2,活跃潜力用户
1003792,4,1,1,2,活跃潜力用户
1003807,4,1,1,2,活跃潜力用户
1003821,1,2,2,2,活跃潜力用户
1003826,1,10,10,0,高价值忠诚用户
1003837,3,6,5,0,高价值忠诚用户
1003838,2,3,3,2,活跃潜力用户
1003846,3,2,2,2,活跃潜力用户
1003855,9,1,1,1,早期沉睡用户
1003863,1,1,1,2,活跃潜力用户
1003866,2,1,1,2,活跃潜力用户
1003867,1,2,2,2,活跃潜力用户
1003871,3,3,3,2,活跃潜力用户
1003875,8,1,1,1,早期沉睡用户
100388,1,3,3,2,活跃潜力用户
1003885,2,4,3,2,活跃潜力用户
1003887,4,1,1,2,活跃潜力用户
1003893,1,1,1,2,活跃潜力用户
1003894,6,1,1,1,早期沉睡用户
1003901,2,31,30,3,超级用户
1003906,1,9,7,0,高价值忠诚用户
1003912,8,1,1,1,早期沉睡用户
1003914,6,1,1,1,早期沉睡用户
1003938,2,2,2,2,活跃潜力用户
1003940,1,3,3,2,活跃潜力用户
1003941,7,4,4,1,早期沉睡用户
1003947,7,1,1,1,早期沉睡用户
100395,2,2,2,2,活跃潜力用户
1003961,1,1,1,2,活跃潜力用户
1003965,8,2,2,1,早期沉睡用户
1003975,2,5,5,0,高价值忠诚用户
1003979,5,2,2,1,早期沉睡用户
1003983,1,43,40,3,超级用户
1003988,1,2,1,2,活跃潜力用户
1003991,3,1,1,2,活跃潜力用户
1003993,2,1,1,2,活跃潜力用户
1003998,2,2,2,2,活跃潜力用户
1004001,1,1,1,2,活跃潜力用户
1004002,1,1,1,2,活跃潜力用户
100401,8,2,2,1,早期沉睡用户
1004019,2,2,2,2,活跃潜力用户
1004020,5,1,1,1,早期沉睡用户
1004021,2,3,3,2,活跃潜力用户
1004026,1,1,1,2,活跃潜力用户
1004032,2,2,2,2,活跃潜力用户
1004068,1,4,4,2,活跃潜力用户
1004073,6,1,1,1,早期沉睡用户
1004075,2,4,4,2,活跃潜力用户
1004082,1,2,2,2,活跃潜力用户
1004087,9,2,1,1,早期沉睡用户
1004096,2,12,12,0,高价值忠诚用户
1004106,4,3,2,2,活跃潜力用户
1004115,9,1,1,1,早期沉睡用户
1004118,3,1,1,2,活跃潜力用户
1004122,7,3,3,1,早期沉睡用户
1004140,3,1,1,2,活跃潜力用户
1004146,1,1,1,2,活跃潜力用户
1004161,1,2,2,2,活跃潜力用户
1004165,4,4,4,2,活跃潜力用户
1004172,1,5,5,0,高价值忠诚用户
1004183,1,2,2,2,活跃潜力用户
1004192,9,3,3,1,早期沉睡用户
1004196,6,2,2,1,早期沉睡用户
1004201,8,1,1,1,早期沉睡用户
1004207,2,1,1,2,活跃潜力用户
1004212,5,3,3,1,早期沉睡用户
1004228,4,6,5,0,高价值忠诚用户
1004232,5,3,3,1,早期沉睡用户
1004238,4,8,8,0,高价值忠诚用户
1004246,4,1,1,2,活跃潜力用户
1004259,3,3,2,2,活跃潜力用户
1004269,1,4,3,2,活跃潜力用户
1004274,4,2,2,2,活跃潜力用户
1004277,3,1,1,2,活跃潜力用户
100428,6,1,1,1,早期沉睡用户
1004282,1,1,1,2,活跃潜力用户
1004289,7,1,1,1,早期沉睡用户
1004296,6,2,2,1,早期沉睡用户
1004298,6,2,2,1,早期沉睡用户
1004302,2,1,1,2,活跃潜力用户
1004303,9,1,1,1,早期沉睡用户
1004319,3,1,1,2,活跃潜力用户
1004327,3,5,5,0,高价值忠诚用户
1004335,1,3,3,2,活跃潜力用户
1004337,1,6,6,0,高价值忠诚用户
1004339,2,5,5,0,高价值忠诚用户
1004341,5,3,3,1,早期沉睡用户
